type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
L3-0-output-min,36298165.43,36779284.20000003,37315425.25999998,86812107.15000004,74479043.38,80872182.07999998,83632224.83999996,82785573.12000003,0.0,0.0,0.0,0.0,0.0,36668801.820000045,34527983.68999998,33751539.319999985,34805584.81999999,35428992.57999995,7057093.510000012,29181406.830000017,34045831.36000002,29957490.620000046,31000585.139999986,35246089.769999996,32539816.470000017,34573298.73,32745498.06000003,33057441.640000034,32340853.599999968,29902239.999999978,28256619.71000001,19580321.290000018,21189211.660000026,29910927.069999956,4543258.1400000015,15301877.570000002,31851087.26000003,32139002.070000023,25823237.42000002,11678651.430000016,4670840.5299999975,27810793.429999966,32911765.08999998,29839504.45999999,31713883.710000012,25662360.450000025,28007328.579999972,22648029.299999997,18857058.859999996,25259136.699999973,23123454.44000001,26733194.18000001,18784987.629999995,26148515.360000025,17068234.49000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46787872.129999876,18477134.47999998,499175.3644500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5855294.740000005,14575460.039999971,24952264.94999999,20318651.37999999,23258249.180000003,19213770.530000016,17440480.840000004,27899594.659999967
L3-0-output-max,36298165.43,36779284.20000003,37315425.25999998,86812107.15000004,74479043.38,80872182.07999998,83632224.83999996,82785573.12000003,0.0,0.0,0.0,0.0,0.0,36668801.820000045,34527983.68999998,33751539.319999985,34805584.81999999,35428992.57999995,7057093.510000012,29181406.830000017,34045831.36000002,29957490.620000046,31000585.139999986,35246089.769999996,32539816.470000017,34573298.73,32745498.06000003,33057441.640000034,32340853.599999968,29902239.999999978,28256619.71000001,19580321.290000018,21189211.660000026,29910927.069999956,4543258.1400000015,15301877.570000002,31851087.26000003,32139002.070000023,25823237.42000002,11678651.430000016,4670840.5299999975,27810793.429999966,32911765.08999998,29839504.45999999,31713883.710000012,25662360.450000025,28007328.579999972,22648029.299999997,18857058.859999996,25259136.699999973,23123454.44000001,26733194.18000001,18784987.629999995,26148515.360000025,17068234.49000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77513197.91000001,0.0,69274674.21999991,18477134.47999998,499175.3644500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5855294.740000005,14575460.039999971,24952264.94999999,20318651.37999999,23258249.180000003,19213770.530000016,17440480.840000004,27899594.659999967
L3-1-input,24073414.509999987,19783217.020000014,7600395.640000007,12973730.099999998,36758936.22000001,35523049.53000004,35390083.719999984,34859685.830000006,36070269.25000001,32464483.879999995,32869655.73999997,21952579.000000022,13762760.020000001,34771247.33,35543619.90000002,32584844.569999997,35364989.75999999,30423252.07999995,33670409.67999996,34354151.48000001,29857695.030000012,21731194.779999968,19677038.00999999,35317511.709999956,36197582.90999995,34547422.08999996,33288291.04000001,34103525.16000001,30855954.479999997,32456443.160000008,35769461.85000001,30372121.99000001,6811532.170000009,34584505.160000004,36225162.30000001,34927828.7,33295736.979999997,35782029.70999993,33930231.03000001,36094104.340000026,33385276.480000056,36481030.65000006,34338506.70000001,36056997.70999997,35357819.84999996,23267050.149999984,34274021.46999998,32571657.75,28428826.84999998,30095596.290000048,23258316.200000014,27802574.249999978,33277809.059999965,33355122.22999999,30715507.25,30075216.67999999,29485581.999999996,29663273.28999998,25056483.36999999,32275533.250000004,32687947.05,29743293.889999986,23539587.100000005,26922319.399999972,4624396.029999999,4600824.319999998,29062003.37999997,1021451.7325700003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7978387.786000001,26810034.379999954,29612900.480000034,32530453.730000027,35920166.17000002,32326798.759999976,34110143.80000004
L3-1-output-min,24073414.509999987,19783217.020000014,7600395.640000007,12973730.099999998,36758936.22000001,35523049.53000004,35390083.719999984,34859685.830000006,36070269.25000001,32464483.879999995,32869655.73999997,21952579.000000022,13762760.020000001,34771247.33,35543619.90000002,32584844.569999997,35364989.75999999,30423252.07999995,33670409.67999996,34354151.48000001,129857695.03000002,121731194.77999997,119677038.00999999,135317511.70999995,136197582.90999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33295736.979999997,35782029.70999993,33930231.03000001,36094104.340000026,33385276.480000056,36481030.65000006,34338506.70000001,36056997.70999997,35357819.84999996,23267050.149999984,34274021.46999998,32571657.75,28428826.84999998,30095596.290000048,23258316.200000014,27802574.249999978,33277809.059999965,33355122.22999999,30715507.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104624396.03,7992308.449999994,29062003.37999997,1021451.7325700003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7978387.786000001,26810034.379999954,29612900.480000034,32530453.730000027,35920166.17000002,32326798.759999976,34110143.80000004
L3-1-output-max,24073414.509999987,19783217.020000014,7600395.640000007,12973730.099999998,36758936.22000001,35523049.53000004,35390083.719999984,34859685.830000006,36070269.25000001,32464483.879999995,32869655.73999997,21952579.000000022,13762760.020000001,34771247.33,35543619.90000002,32584844.569999997,35364989.75999999,30423252.07999995,33670409.67999996,34354151.48000001,129857695.03000002,121731194.77999997,119677038.00999999,135317511.70999995,136197582.90999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33295736.979999997,35782029.70999993,33930231.03000001,36094104.340000026,33385276.480000056,36481030.65000006,34338506.70000001,36056997.70999997,35357819.84999996,23267050.149999984,34274021.46999998,32571657.75,28428826.84999998,30095596.290000048,23258316.200000014,27802574.249999978,33277809.059999965,33355122.22999999,30715507.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104624396.03,7992308.449999994,29062003.37999997,1021451.7325700003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7978387.786000001,26810034.379999954,29612900.480000034,32530453.730000027,35920166.17000002,32326798.759999976,34110143.80000004
ST-input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST-output-min,9500000.0,19000000.0,28500000.0,38000000.0,47500000.0,57000000.0,66500000.0,66500000.0,66500000.0,57500000.0,48000000.0,38500000.0,29000000.0,19500000.0,29000000.0,38500000.0,48000000.0,57500000.0,67000000.0,67000000.0,67000000.0,67000000.0,67000000.0,67000000.0,57500000.0,48000000.0,38500000.0,29000000.0,19500000.0,10000000.0,5128205.128205128,2629848.7836949374,1348640.4018948397,691610.4625101743,5226466.903851371,7552034.30966737,8744632.979316602,4484427.168880309,2299706.2404514407,6051131.405359713,7974939.18223575,8961507.27294141,4595644.755354569,2356740.9001818304,11856740.90018183,21356740.90018183,30856740.90018183,40356740.90018183,49856740.90018183,59356740.90018183,68856740.90018183,78356740.90018183,87856740.90018183,97356740.90018183,90367837.04500909,90018391.85225046,99500919.59261252,99975045.97963062,99975045.97963062,90475045.97963062,90023752.29898153,90001187.61494908,90001187.61494908,90001187.61494908,80501187.61494908,71001187.61494908,61501187.61494908,52001187.61494908,42501187.61494908,33001187.614949077,23501187.614949077,14001187.614949077,7180096.212794399,3682100.621945846,1888256.7292029979,968336.7842066656,496582.96625982854,254657.93141529668,130593.81098220343,66971.18511907868,34344.197496963425,17612.408972801757,9032.004601436798,4631.797231506051,2375.2806315415646,1218.0926315597767,624.6628879793727,320.3399425535245,164.27689361719206,84.24456082932926,43.20233888683552,22.155045582992575,11.36156183743209,5.826441967913892,2.98791895790456,1.5322661322587487
ST-output-max,0.0,9500000.0,9500000.0,9500000.0,9500000.0,9743589.743589744,4996712.689020381,2562416.7636001958,2562416.7636001958,12062416.763600197,6185854.750564204,14000000.0,23500000.0,33000000.0,42500000.0,33000000.0,42500000.0,52000000.0,61500000.0,71000000.0,71000000.0,80500000.0,90000000.0,99500000.0,90000000.0,99500000.0,99975000.0,99998750.0,99999937.5,99999937.5,90499937.5,80999937.5,90499937.5,99524996.875,90024996.875,99501249.84375,99975062.4921875,99998753.12460938,99999937.65623046,99500000.0,90000000.0,80500000.0,90000000.0,99500000.0,90000000.0,99500000.0,99975000.0,99998750.0,99999937.5,90499937.5,80999937.5,71499937.5,67000000.0,57500000.0,48000000.0,38500000.0,29000000.0,19500000.0,10000000.0,19500000.0,19500000.0,19500000.0,29000000.0,38500000.0,38500000.0,29000000.0,38500000.0,38500000.0,38500000.0,29000000.0,19500000.0,10000000.0,5128205.128205128,2629848.7836949374,12129848.783694938,14000000.0,23500000.0,33000000.0,42500000.0,52000000.0,42500000.0,52000000.0,61500000.0,71000000.0,80500000.0,71000000.0,80500000.0,90000000.0,99500000.0,90000000.0,99500000.0,99975000.0,99998750.0,99999937.5,99999996.875,99999999.84375
Grid-output-min,146538184.6399999,143009447.32,131795859.8999999,166569113.84999996,178115255.99999994,183319211.61000004,185674309.5599999,174311002.65000004,92712996.44999999,79572229.36947364,79573949.63999993,69412577.59999993,60822432.52000004,126347486.01999998,155246798.59000003,153323546.59,149202005.60000014,110938634.49999988,126475944.48999992,142944077.21000007,240764806.29000005,227754051.49999994,227426866.84999996,252515559.67999998,234230395.48000002,100616051.43000002,97995923.96000005,35043380.98453502,22341217.15228197,16874061.194699977,16190163.239461876,63451240.52330512,95290372.75810513,63865392.48148981,46935862.876148716,39340965.46133273,23014585.212683424,99935809.85311966,97323043.63054852,35853906.76534028,37873516.46776427,22780407.850058623,33880683.14564536,46288702.93381813,50978375.47400004,20325802.052999835,-19343233.92799997,26127.883999994956,1988527.1380000897,-34008097.38699992,-31043573.096999984,-25719535.75800003,-42067454.470000066,-54335474.95753297,-103364685.66974881,-132306836.76100911,-137166257.47325048,-125620737.39061254,-127650252.158,-97695589.83599998,-51098608.57163051,-36820801.59798163,-30156439.98799989,-27808949.860000048,70053099.695,26464923.0929998,16144635.466999965,-76605670.60728,-62996687.613339,-32993417.613000005,-57627902.36,-33846302.35040003,-21589837.041794397,-8674289.206845846,-8229460.285792998,-968336.7842066656,-496582.96625982854,-254657.93141529668,-130593.81098220343,-66971.18511907868,-34344.197496963425,-17612.408972801757,-9032.004601436798,-4631.797231506051,-2375.2806315415646,-1218.0926315597767,-624.6628879793727,-320.3399425535245,21713490.035642397,92767215.98143911,127796989.3276611,123796648.90495448,131469172.84843811,129959660.17355806,113510551.99208096,128253459.52773385
Grid-output-max,136538184.6399999,143009447.32,121795859.8999999,176569113.84999996,188115255.99999994,193575621.86641032,190677596.87097952,191748585.88639984,112712996.44999999,119045913.57999995,103388094.88943572,107637993.65203762,100822432.52000001,146347486.01999998,155246798.59000003,133323546.59,149202005.60000014,110938634.49999988,126475944.48999992,152944077.21000007,240764806.29000005,237754051.49999994,237426866.84999996,262515559.67999998,234230395.48000002,120616051.43000002,108495923.96000005,45068380.98453502,32342467.15228197,26874061.194699977,11318368.367667004,56081089.307000056,106639013.15999997,74057065.44399998,32162329.78000009,46868002.8960001,22257968.348250028,104445174.52981247,99623996.74639058,31378788.00624688,25848455.650000017,11741915.123000035,48476327.90099993,58645443.83399996,30978375.474000037,20325802.052999835,-28843233.927999966,-9948872.116000006,-8010222.86199991,-54008097.38699992,-51043573.09699999,-45719535.75800003,-56804230.78578954,-74335474.95753296,-106007944.76956698,-141938362.420612,-157147105.42894402,-134919334.13874602,-135597769.738,-57695589.83599998,-30623562.591999892,-16797049.299000096,-156439.98799988627,79704248.04999997,100053099.695,68951725.18299983,36144635.46699996,-66605670.60728,-52996687.613339,-32993417.613000005,-57627902.36,-33846302.35040003,-19537945.957205128,-7622037.368594939,3658796.4434100003,1968580.2276895393,10000000.0,10000000.0,10000000.0,10000000.0,-10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,-10000000.0,10000000.0,10000000.0,31713654.312536012,82767300.22599994,137797032.52999997,124296671.06000006,131494184.20999995,129960916.00000003,113510617.47999991,128253464.18499997
Cost-output-min,0.0,0.0,0.0,0.23839857385665955,0.06131736794737739,-0.06312083059060832,-0.14358548248014252,-0.2069790903096087,-0.0896461406431337,-0.09625892098186291,-0.07636133649589416,-0.022243234443199845,-0.06367039936696797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07431643703657298,-0.0217124183140192,0.05483099223283876,-0.03788967688195655,-0.0968810418227775,0.09375571869841445,-0.017038946605448625,-0.09312926832898935,0.0041985299925843215,-0.29152478096376494,-0.16038866926862094,-0.09790071521158468,0.01563074437668539,-0.07159980703105169,0.2075400325177565,-0.04888967406705698,-0.056377453147070655,0.05872876216481844,0.0350074200513014,-0.11636188691930101,-0.03618432661636173,0.3292816695674141,-0.18696519766847777,0.15491696380676506,-0.027229255359161007,-0.04826646877840228,-0.05456853781133466,-0.17278394639808203,-0.06752092417719754,0.05278613872286808,-0.11408967307468618,0.00925761849676503,-0.20588266928000212,0.05140619057212623,0.038434218309774074,-0.2140057071329385,-0.016566019481330584,0.17403650620960645,-0.04263530296802718,-0.15354974690978102,-0.7095032170487011,-0.5465012565105608,0.45371033490728785,0.16115242925398512,-0.24730028860018485,0.32544086963375396,-0.32009139362022726,-0.2789324571692056,-0.07132377340530574,-0.1294553464759581,0.10383653746976762,0.07146788920572589,-0.0073879385776888015,-0.026873231617853044,-0.1756395266289545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
